"price","brand","mileage"
6300,"toyota",274117
2899,"ford",190552
5350,"dodge",39590
25000,"ford",64146
27700,"chevrolet",6654
5700,"dodge",45561
7300,"chevrolet",149050
13350,"gmc",23525
14600,"chevrolet",9371
5250,"ford",63418
10400,"dodge",107856
12920,"gmc",39650
31900,"chevrolet",22909
5430,"chrysler",138650
20700,"ford",100757
12710,"gmc",25747
5200,"kia",46194
16500,"buick",20002
5210,"ford",35714
38100,"ford",54380
12520,"gmc",30114
7300,"kia",38823
15000,"chevrolet",61578
6180,"ford",46010
20800,"ford",105510
11900,"gmc",28040
21500,"kia",11451
12000,"buick",31039
4190,"ford",44174
13000,"ford",93698
12710,"gmc",26364
18500,"infiniti",71967
29800,"chevrolet",46226
5330,"ford",37792
13000,"ford",58817
11900,"gmc",27965
16600,"mercedes-benz",110907
19200,"chevrolet",2430
7320,"ford",32366
7000,"ford",176567
12710,"gmc",30049
16600,"mercedes-benz",97983
30500,"chevrolet",30442
6330,"ford",38123
55000,"ford",15273
12520,"gmc",28972
16200,"jeep",30061
19000,"chevrolet",18414
5580,"dodge",46829
54000,"ford",26241
12710,"gmc",39886
16000,"jeep",31594
27000,"buick",32107
7760,"ford",44794
19600,"chrysler",42648
12920,"gmc",39165
20000,"jeep",38355
18100,"buick",46766
23000,"chrysler",2473
18500,"chrysler",38586
13490,"gmc",27842
20700,"jeep",31156
17800,"chevrolet",52435
6650,"ford",29942
29100,"chrysler",25281
12710,"gmc",32504
21100,"jeep",28649
18600,"chevrolet",35200
4340,"ford",25602
19300,"chrysler",34801
12780,"gmc",31009
15800,"jeep",35595
29400,"bmw",23765
4430,"ford",31792
19400,"chrysler",33135
12520,"gmc",30636
15900,"jeep",34502
26400,"buick",25434
4140,"ford",36732
18300,"chrysler",41792
12520,"gmc",31992
17900,"jeep",32501
18300,"chevrolet",28395
4640,"ford",36139
24000,"ford",84413
13200,"gmc",33457
18000,"jeep",29245
14900,"chevrolet",12783
4140,"ford",17617
11500,"ford",36855
9110,"ford",110316
7350,"chrysler",88227
24500,"bmw",17626
9300,"ford",120353
39800,"dodge",3641
53500,"bmw",29355
15110,"ford",39333
34000,"ford",42930
26502,"chevrolet",24993
5990,"ford",44929
13600,"ford",16971
23605,"cadillac",35598
10780,"ford",40455
13800,"ford",23164
25201,"cadillac",19011
7070,"ford",45191
8700,"ford",21405
18003,"chevrolet",19117
8530,"ford",42104
23100,"dodge",49496
24500,"cadillac",32418
7000,"ford",29882
17000,"ford",34819
34002,"chevrolet",31923
6980,"ford",29168
25000,"dodge",28307
20802,"chevrolet",33791
9200,"ford",21770
26500,"chrysler",18375
24802,"chevrolet",14158
7070,"ford",30318
28500,"ford",48086
47500,"cadillac",26562
23500,"ford",57611
23505,"chevrolet",47357
10940,"ford",84916
32100,"ford",24521
53000,"chevrolet",16105
6830,"ford",35888
11900,"dodge",59537
26414,"chevrolet",55222
4160,"dodge",32870
19405,"chevrolet",39687
5690,"dodge",47085
25900,"chrysler",32224
24005,"chevrolet",51293
5090,"dodge",42989
19500,"chrysler",31311
32012,"chevrolet",46091
6800,"dodge",49033
4260,"dodge",33957
0,"dodge",177948
31802,"chevrolet",19845
7210,"dodge",38910
0,"dodge",123660
28402,"chevrolet",31234
6800,"dodge",36767
33300,"cadillac",57932
10780,"dodge",19420
6700,"ford",204155
20000,"chevrolet",93493
6440,"chrysler",20942
19900,"ford",86826
37000,"chevrolet",45787
4040,"dodge",50765
22300,"ford",62774
31200,"chevrolet",76326
4290,"dodge",39029
22800,"ford",72885
19002,"cadillac",46467
4160,"dodge",6743
18500,"ford",33514
39000,"bmw",39917
6060,"dodge",32504
28800,"ford",77638
40000,"bmw",31727
6140,"dodge",52966
21000,"ford",24157
20105,"buick",51393
6760,"dodge",35461
25800,"ford",47055
39000,"bmw",33110
5470,"dodge",39721
14600,"ford",75785
24502,"chevrolet",33624
15110,"ford",42289
7900,"ford",79422
27305,"chevrolet",28844
15290,"ford",66582
26500,"ford",61436
25502,"chevrolet",58303
7320,"ford",55618
3800,"chevrolet",261648
24502,"chevrolet",33045
4140,"ford",40747
1400,"dodge",185460
18402,"cadillac",26667
4160,"ford",37176
175,"chrysler",231240
24503,"chevrolet",18006
15840,"ford",72445
20500,"ford",123355
21003,"chevrolet",44116
4200,"ford",60219
17400,"ford",135077
32001,"chevrolet",32058
0,"ford",76858
15700,"ford",309564
31009,"chevrolet",33928
3740,"ford",90618
5000,"dodge",109360
31002,"chevrolet",71809
3160,"ford",31563
8600,"dodge",219823
6000,"chevrolet",42090
12990,"ford",126523
25,"chevrolet",7232
13200,"buick",60171
4410,"ford",209915
25,"chrysler",151815
22500,"chevrolet",13826
7420,"ford",55854
13500,"ford",45757
15500,"chevrolet",16545
3540,"ford",112893
17000,"ford",126802
45500,"chevrolet",13303
4130,"ford",34061
15700,"ford",70251
45500,"chevrolet",13679
4130,"ford",42426
15500,"dodge",66452
16300,"chevrolet",18221
4530,"ford",41455
15600,"dodge",35275
45500,"chevrolet",13885
4100,"ford",38815
18200,"dodge",162281
10200,"chevrolet",56479
4080,"ford",61027
5700,"ford",178703
10200,"chevrolet",173469
5000,"ford",37321
1700,"ford",112789
6200,"bmw",80394
3650,"ford",68142
10500,"dodge",74203
43500,"chevrolet",57604
4610,"dodge",87229
3450,"ford",90711
38500,"chevrolet",11135
6810,"ford",66781
2900,"ford",190994
43500,"chevrolet",56007
4450,"ford",32486
5800,"ford",195908
16500,"chevrolet",18020
4240,"dodge",83262
26500,"ford",62015
13700,"chevrolet",36421
8600,"ford",73321
8000,"ford",132379
14200,"chevrolet",28013
7040,"ford",33291
4700,"ford",225236
30851,"chevrolet",43176
4880,"ford",36876
14500,"dodge",111782
7600,"chevrolet",110489
13270,"ford",84035
12800,"ford",131101
33000,"chevrolet",52521
9280,"ford",101380
900,"ford",142027
7560,"ford",111476
19500,"ford",76897
17100,"chevrolet",15780
8020,"ford",31944
10300,"ford",18937
22600,"chevrolet",9706
10480,"ford",57289
10300,"ford",19956
22700,"chevrolet",6075
7410,"ford",21034
10300,"ford",22881
10300,"chevrolet",167600
7570,"ford",37252
67000,"dodge",10944
18900,"chevrolet",27601
12560,"ford",15958
33000,"dodge",32251
18300,"chevrolet",25809
11760,"ford",30553
31700,"dodge",26549
25,"dodge",160528
0,"ford",124969
7340,"ford",15854
8200,"hyundai",56690
3000,"kia",97142
6530,"jeep",10185
0,"mazda",117541
12700,"kia",23514
13800,"kia",86959
0,"chevrolet",258631
725,"ford",67279
7400,"ford",16482
9800,"hyundai",35687
0,"honda",152608
4400,"jeep",17911
10330,"infiniti",21278
1800,"chevrolet",47269
50,"chevrolet",172102
720,"ford",26914
22800,"ford",67217
2500,"ford",78698
0,"ford",246065
9190,"gmc",41961
10900,"jeep",13273
10400,"infiniti",31713
0,"chevrolet",0
0,"chevrolet",194673
7320,"chevrolet",325611
22809,"ford",50732
0,"ford",186855
0,"ford",94004
5520,"gmc",52904
10900,"jeep",14195
6330,"jeep",43965
0,"chevrolet",117059
25,"chevrolet",149189
2320,"dodge",112182
23702,"ford",49024
0,"ford",0
0,"ford",203297
5520,"gmc",35821
4050,"heartland",1
14810,"infiniti",32611
25,"chevrolet",105244
2960,"chrysler",164048
24800,"ford",46955
0,"ford",296860
0,"ford",203158
6270,"gmc",70443
1880,"heartland",1
10050,"infiniti",18229
225,"chevrolet",87673
26900,"chevrolet",42941
1420,"chrysler",104405
27003,"ford",57186
0,"ford",214800
350,"ford",236980
5600,"gmc",59808
6680,"heartland",1
10120,"infiniti",20681
0,"chevrolet",137422
3920,"ford",102700
23100,"ford",53270
0,"gmc",235348
5630,"gmc",27195
0,"heartland",1
2800,"jaguar",20849
0,"chevrolet",159266
8850,"ford",143818
18712,"ford",67347
0,"ford",180364
0,"ford",184889
6300,"gmc",117400
2220,"heartland",1
6930,"jeep",47798
25,"chevrolet",130623
3440,"ford",124542
50412,"ford",47129
25,"ford",206162
950,"ford",229886
9270,"gmc",19490
11380,"jeep",12038
5350,"hyundai",43536
2725,"chevrolet",308451
3790,"ford",100893
40514,"ford",90304
0,"ford",146912
0,"ford",131367
9190,"gmc",31394
10330,"infiniti",25933
1000,"acura",118250
2925,"bmw",46060
3830,"ford",50593
43402,"ford",62387
1025,"gmc",169634
17200,"honda",72527
54680,"harley-davidson",9502
6940,"honda",217290
13080,"infiniti",17243
25,"chevrolet",194903
10630,"ford",82899
43009,"ford",76418
25,"gmc",138441
4600,"ford",240740
4950,"honda",71404
3760,"hyundai",30382
3900,"acura",179389
0,"cadillac",105169
3830,"ford",82534
53500,"ford",55732
25,"ford",198596
25,"ford",300021
6240,"honda",83623
4150,"jeep",108895
25,"jeep",226972
61200,"bmw",7509
0,"buick",137464
13500,"bmw",33542
6490,"ford",74754
51502,"ford",27661
250,"ford",115241
25,"ford",41577
8160,"honda",109027
7770,"jeep",72732
200,"jeep",126400
25,"audi",177422
0,"chevrolet",274706
1825,"bmw",77984
39800,"bmw",23177
9210,"ford",26911
58500,"ford",21527
125,"ford",56461
3960,"honda",95128
5998,"hyundai",122975
3700,"honda",162824
0,"kia",148463
0,"audi",181896
0,"bmw",216657
5000,"gmc",140339
15050,"infiniti",26786
3960,"hyundai",35623
36300,"lincoln",14541
55600,"lexus",8186
2630,"nissan",36739
5690,"nissan",42616
19500,"audi",65833
450,"chevrolet",123515
20400,"cadillac",36122
4320,"chevrolet",88359
33001,"ford",35905
10000,"ford",35747
0,"ford",167011
5790,"gmc",105020
14750,"infiniti",11047
4010,"hyundai",31233
40000,"mercedes-benz",19427
13000,"kia",71991
3550,"nissan",29043
3040,"nissan",36064
0,"chevrolet",270080
36400,"audi",47213
4480,"ford",116480
31003,"ford",72084
75,"ford",295780
8850,"gmc",148035
14750,"infiniti",11396
4690,"hyundai",33785
23000,"land",20103
46900,"land",32387
10740,"mercedes-benz",48140
3160,"nissan",34861
0,"chevrolet",268040
3450,"chrysler",114119
27102,"ford",34165
500,"gmc",27442
5100,"gmc",144792
15010,"infiniti",11394
5800,"jeep",30546
23200,"land",23745
8000,"hyundai",88274
3390,"nissan",38349
3140,"nissan",30142
25,"chevrolet",267834
15000,"bmw",44730
10440,"chevrolet",92476
23911,"ford",25698
25,"ford",155242
21400,"gmc",54332
5380,"gmc",119215
11000,"jeep",8930
4950,"jeep",46985
22500,"land",30220
30300,"maserati",37021
2630,"nissan",43152
3140,"nissan",34318
2300,"chevrolet",88287
4310,"chevrolet",105486
26012,"ford",19850
75,"ford",116535
48500,"gmc",15777
3330,"gmc",87448
11200,"jeep",8395
4730,"hyundai",30121
24900,"mercedes-benz",33687
29400,"mercedes-benz",37561
8350,"nissan",32256
475,"peterbilt",902041
3210,"nissan",25255
25,"chevrolet",165327
4200,"chevrolet",118009
8430,"chevrolet",114547
25503,"ford",18647
0,"ford",252588
26000,"gmc",16669
3900,"honda",47970
11200,"jeep",12905
8610,"jeep",22123
28000,"mercedes-benz",40780
84900,"mercedes-benz",25302
10840,"lexus",36596
100,"peterbilt",0
11050,"ram",30421
0,"chevrolet",134938
1000,"chevrolet",135675
3570,"dodge",17355
25001,"ford",27773
0,"ford",86841
5630,"gmc",58366
11100,"jeep",11229
4650,"hyundai",27492
0,"lincoln",89705
3820,"nissan",41654
0,"peterbilt",982486
2900,"nissan",31954
50,"chevrolet",172102
5100,"chevrolet",173321
4700,"dodge",93423
29502,"ford",14053
0,"ford",145483
6160,"honda",25956
10910,"jeep",12253
3440,"hyundai",34895
16000,"mazda",47753
3810,"kia",39408
1025,"peterbilt",1017936
3020,"nissan",33599
0,"chevrolet",194673
2000,"chevrolet",507985
3870,"ford",185983
24811,"ford",28464
75,"ford",154989
5420,"honda",16702
11100,"jeep",11449
4750,"hyundai",25847
17900,"mercedes-benz",49772
3800,"nissan",83915
3160,"nissan",40306
25,"chevrolet",149189
1200,"chevrolet",149543
6470,"chevrolet",69622
26400,"ford",36295
0,"gmc",0
32500,"gmc",14856
6900,"honda",44129
11030,"jeep",10861
3460,"hyundai",142106
18000,"mercedes-benz",82411
3250,"hyundai",111612
3210,"nissan",35251
13200,"chevrolet",50408
27705,"ford",15630
7200,"chevrolet",53273
28714,"ford",14786
11200,"chevrolet",85315
27502,"ford",16146
11900,"chevrolet",76211
29314,"ford",15265
11200,"chevrolet",79965
27002,"ford",16059
13200,"chevrolet",62739
28214,"ford",15569
12700,"chevrolet",58932
29900,"ford",17488
12700,"chevrolet",60733
27202,"ford",18550
13500,"chevrolet",53194
27705,"ford",17644
14700,"chevrolet",34454
29900,"ford",17684
4500,"chevrolet",83279
27705,"ford",16600
8000,"chevrolet",107971
25511,"ford",17801
7700,"chevrolet",94150
29900,"ford",17159
7200,"chevrolet",80711
27502,"ford",17983
4500,"chevrolet",119981
27402,"ford",17851
1500,"chevrolet",66079
26602,"ford",18174
10200,"chevrolet",7654
29900,"ford",18759
14000,"chevrolet",11564
28500,"ford",18901
8000,"chevrolet",86541
29809,"ford",21157
36900,"chevrolet",29937
26902,"ford",23964
10950,"chevrolet",58504
27402,"ford",20154
16900,"acura",63500
25600,"ford",23294
29700,"bmw",24293
27702,"ford",20343
13500,"buick",19655
27102,"ford",19100
27102,"ford",20014
25811,"ford",21774
26602,"ford",21201
27102,"ford",21766
37500,"buick",12406
26211,"ford",17977
24205,"ford",22805
37500,"cadillac",16013
27111,"ford",14382
27411,"ford",9660
27302,"ford",18969
27202,"ford",24730
26311,"ford",15847
26602,"ford",25009
33500,"bmw",22115
27511,"ford",11836
21500,"buick",23765
27200,"ford",25508
26511,"ford",18196
24002,"ford",16106
21500,"buick",14907
18511,"ford",12735
14000,"kia",53424
29000,"buick",17940
23402,"ford",17417
13300,"kia",37125
19700,"bmw",61428
23211,"ford",17025
15500,"kia",37668
18111,"ford",15805
21500,"kia",43761
25511,"ford",11342
17700,"chevrolet",35664
28000,"chevrolet",12780
14000,"chevrolet",38458
21700,"chevrolet",34420
13500,"chevrolet",46497
35500,"chevrolet",21268
29500,"chevrolet",31029
25300,"chevrolet",40878
21500,"chevrolet",20270
25900,"chevrolet",32984
35300,"chevrolet",75506
13500,"chevrolet",39951
62000,"chevrolet",19403
46000,"chevrolet",4445
9000,"chevrolet",67527
25900,"chevrolet",33588
25800,"chevrolet",10103
17000,"chevrolet",26474
12800,"chevrolet",40253
47400,"chevrolet",39624
24400,"chevrolet",48705
17100,"chevrolet",19659
7400,"chevrolet",91299
33100,"chevrolet",81614
22000,"chevrolet",179
35000,"chevrolet",5523
16500,"chevrolet",29841
35300,"chevrolet",8516
26900,"chevrolet",42941
11600,"chevrolet",27498
28100,"chevrolet",31141
27700,"chevrolet",20784
17700,"chevrolet",52667
16600,"chevrolet",26003
63200,"chevrolet",4266
36800,"chevrolet",32332
19500,"chevrolet",44333
38800,"chevrolet",36198
37500,"chevrolet",33331
35000,"chevrolet",43082
31100,"chevrolet",24561
22600,"chevrolet",13485
22400,"chevrolet",15524
22700,"chevrolet",8996
13700,"chevrolet",47282
37100,"chevrolet",34470
18500,"chevrolet",87264
18300,"chevrolet",114344
19000,"chevrolet",111635
18500,"chevrolet",103955
22500,"chevrolet",66640
14500,"chevrolet",122018
32800,"chevrolet",46915
12300,"chevrolet",53599
19600,"chevrolet",41672
13600,"chevrolet",36047
7200,"chevrolet",42561
19900,"chevrolet",40345
13000,"chevrolet",41751
19700,"chevrolet",27593
9400,"chevrolet",24009
23800,"chevrolet",85697
17700,"chevrolet",25223
17000,"chevrolet",27927
14000,"chevrolet",135127
32100,"chevrolet",55532
33100,"chevrolet",72172
31600,"chevrolet",57751
5100,"chevrolet",96314
4100,"chevrolet",89152
7200,"chevrolet",114660
12800,"chevrolet",177322
46800,"chevrolet",36423
21800,"chevrolet",23759
3000,"chevrolet",120667
22500,"chevrolet",65344
35300,"chevrolet",51347
16500,"chevrolet",52322
33000,"chevrolet",67620
31500,"chevrolet",59965
34500,"chevrolet",28739
8000,"chevrolet",77429
25000,"chevrolet",20847
10700,"chevrolet",44280
13400,"chevrolet",86031
16500,"chevrolet",7622
34000,"chevrolet",8067
14100,"chevrolet",16502
38600,"chevrolet",20681
9100,"chevrolet",54655
8600,"chevrolet",57825
22000,"chevrolet",58856
8900,"chevrolet",85072
15500,"chevrolet",79506
3300,"chevrolet",85301
29000,"chevrolet",69377
17300,"chevrolet",15577
30500,"chevrolet",23470
25000,"chevrolet",18715
2800,"chevrolet",61258
3300,"chevrolet",131791
36400,"chevrolet",35705
34800,"chevrolet",48982
20700,"chevrolet",33745
32200,"chevrolet",42267
35300,"chevrolet",46863
33500,"chevrolet",36443
13700,"chevrolet",14939
15900,"chevrolet",22026
33200,"chevrolet",38278
35500,"chevrolet",46149
29800,"chevrolet",48427
29800,"chevrolet",48807
29500,"chevrolet",52618
30300,"chevrolet",46494
24300,"chevrolet",56296
29800,"chevrolet",33909
29800,"chevrolet",33028
27500,"chevrolet",44653
10800,"chevrolet",80516
11500,"chevrolet",105151
10400,"chevrolet",78368
11400,"chevrolet",78956
11400,"chevrolet",88564
8000,"chevrolet",78800
3000,"chevrolet",111856
25000,"chevrolet",80946
12300,"chevrolet",83168
14100,"chevrolet",58606
9000,"chevrolet",82020
4200,"chevrolet",102500
22500,"chevrolet",8150
22600,"chevrolet",6159
22600,"chevrolet",5938
22500,"chevrolet",9019
10200,"chevrolet",45836
42700,"chevrolet",60215
21200,"chevrolet",125507
22700,"chevrolet",90944
22000,"chevrolet",82785
9600,"chevrolet",150525
10500,"chevrolet",112267
6700,"chevrolet",139394
14200,"chevrolet",82543
15500,"chevrolet",13532
35100,"chevrolet",14751
26300,"chevrolet",11150
15700,"chevrolet",91248
17600,"chevrolet",65336
18600,"chevrolet",48974
19100,"chevrolet",40011
15200,"chevrolet",37444
16100,"chevrolet",43199
14800,"chevrolet",43589
16700,"chevrolet",32870
15300,"chevrolet",38826
16500,"chevrolet",33739
19600,"chevrolet",35309
15200,"chevrolet",32248
15000,"chevrolet",36165
15500,"chevrolet",29922
15700,"chevrolet",26848
